timestamp,value
1607817600.0,19.2
1607818500.0,19.4
1607819400.0,19.4
1607820300.0,19.5
1607821200.0,19.5
1607822100.0,19.6
1607823000.0,19.6
1607823900.0,19.6
1607824800.0,19.7
1607825700.0,19.7
1607826600.0,19.5
1607827500.0,19.4
1607828400.0,19.4
1607829300.0,19.4
1607830200.0,19.4
1607831100.0,19.4
1607832000.0,19.4
1607832900.0,19.3
1607833800.0,19.3
1607834700.0,19.3
1607835600.0,19.3
1607836500.0,20.5
1607837400.0,20.6
1607838300.0,20.6
1607839200.0,20.6
1607840100.0,20.4
1607841000.0,20.4
1607841900.0,20.2
1607842800.0,20.1
1607843700.0,20.0
1607844600.0,19.9
1607845500.0,19.6
1607846400.0,19.6
1607847300.0,19.4
1607848200.0,19.3
1607849100.0,19.1
1607850000.0,18.9
1607850900.0,18.8
1607851800.0,18.8
1607852700.0,18.8
1607853600.0,18.9
1607854500.0,19.1
1607855400.0,18.9
1607856300.0,19.0
1607857200.0,19.1
1607858100.0,19.3
1607859000.0,19.0
1607859900.0,19.0
1607860800.0,19.0
1607861700.0,19.1
1607862600.0,18.9
1607863500.0,19.0
1607864400.0,19.1
1607865300.0,19.2
1607866200.0,19.0
1607867100.0,19.0
1607868000.0,19.3
1607868900.0,19.3
1607869800.0,19.2
1607870700.0,19.5
1607871600.0,19.6
1607872500.0,19.5
1607873400.0,19.4
1607874300.0,19.4
1607875200.0,19.3
1607876100.0,19.5
1607877000.0,19.3
1607877900.0,19.2
1607878800.0,19.4
1607879700.0,19.4
1607880600.0,19.2
1607881500.0,19.4
1607882400.0,19.3
1607883300.0,19.1
1607884200.0,18.8
1607885100.0,19.0
1607886000.0,18.9
1607886900.0,18.9
1607887800.0,18.9
1607888700.0,18.8
1607889600.0,18.9
1607890500.0,18.9
1607891400.0,19.1
1607892300.0,18.9
1607893200.0,18.9
1607894100.0,19.5
1607895000.0,19.1
1607895900.0,19.5
1607896800.0,19.4
1607897700.0,19.0
1607898600.0,19.2
1607899500.0,19.5
1607900400.0,19.4
1607901300.0,18.6
1607902200.0,18.9
1607903100.0,19.1
1607904000.0,19.2
1607904000.0,19.2
1607904900.0,19.4
1607904900.0,19.4
1607905800.0,19.4
1607905800.0,19.4
1607906700.0,19.5
1607906700.0,19.5
1607907600.0,19.6
1607907600.0,19.6
1607908500.0,19.5
1607908500.0,19.5
1607909400.0,19.6
1607909400.0,19.6
1607910300.0,19.6
1607910300.0,19.6
1607911200.0,19.7
1607911200.0,19.7
1607912100.0,19.7
1607912100.0,19.7
1607913000.0,19.7
1607913000.0,19.7
1607913900.0,19.7
1607913900.0,19.7
1607914800.0,19.7
1607914800.0,19.7
1607915700.0,19.7
1607915700.0,19.7
1607916600.0,19.7
1607916600.0,19.7
1607917500.0,19.7
1607917500.0,19.7
1607918400.0,19.6
1607918400.0,19.6
1607919300.0,19.6
1607919300.0,19.6
1607920200.0,19.4
1607920200.0,19.4
1607921100.0,19.3
1607921100.0,19.3
1607922000.0,19.2
1607922000.0,19.2
1607922900.0,20.5
1607922900.0,20.5
1607923800.0,20.7
1607923800.0,20.7
1607924700.0,20.4
1607924700.0,20.4
1607925600.0,20.4
1607925600.0,20.4
1607926500.0,19.9
1607926500.0,19.9
1607927400.0,19.9
1607927400.0,19.9
1607928300.0,19.7
1607928300.0,19.7
1607929200.0,19.6
1607929200.0,19.6
1607930100.0,19.3
1607930100.0,19.3
1607931000.0,19.0
1607931000.0,19.0
1607931900.0,18.9
1607931900.0,18.9
1607932800.0,18.7
1607932800.0,18.7
1607933700.0,19.1
1607933700.0,19.1
1607934600.0,19.0
1607934600.0,19.0
1607935500.0,18.9
1607935500.0,18.9
1607936400.0,18.7
1607936400.0,18.7
1607937300.0,18.8
1607937300.0,18.8
1607938200.0,18.7
1607938200.0,18.7
1607939100.0,18.6
1607939100.0,18.6
1607940000.0,18.5
1607940000.0,18.5
1607940900.0,18.7
1607940900.0,18.7
1607941800.0,18.7
1607941800.0,18.7
1607942700.0,18.8
1607942700.0,18.8
1607943600.0,18.9
1607943600.0,18.9
1607944500.0,18.8
1607944500.0,18.8
1607945400.0,18.8
1607945400.0,18.8
1607946300.0,18.9
1607946300.0,18.9
1607947200.0,18.8
1607947200.0,18.8
1607948100.0,18.9
1607948100.0,18.9
1607949000.0,18.8
1607949000.0,18.8
1607949900.0,18.8
1607949900.0,18.8
1607950800.0,18.8
1607950800.0,18.8
1607951700.0,19.0
1607951700.0,19.0
1607952600.0,19.1
1607952600.0,19.1
1607953500.0,19.1
1607953500.0,19.1
1607954400.0,19.2
1607954400.0,19.2
1607955300.0,19.4
1607955300.0,19.4
1607956200.0,19.3
1607956200.0,19.3
1607957100.0,19.5
1607957100.0,19.5
1607958000.0,19.2
1607958000.0,19.2
1607958900.0,19.5
1607958900.0,19.5
1607959800.0,19.3
1607959800.0,19.3
1607960700.0,19.2
1607960700.0,19.2
1607961600.0,19.2
1607961600.0,19.2
1607962500.0,19.3
1607962500.0,19.3
1607963400.0,19.3
1607963400.0,19.3
1607964300.0,19.2
1607964300.0,19.2
1607965200.0,18.9
1607965200.0,18.9
1607966100.0,19.3
1607966100.0,19.3
1607967000.0,18.9
1607967000.0,18.9
1607967900.0,18.7
1607967900.0,18.7
1607968800.0,18.9
1607968800.0,18.9
1607969700.0,19.1
1607969700.0,19.1
1607970600.0,18.8
1607970600.0,18.8
1607971500.0,18.8
1607971500.0,18.8
1607972400.0,18.9
1607972400.0,18.9
1607973300.0,18.7
1607973300.0,18.7
1607974200.0,18.7
1607974200.0,18.7
1607975100.0,18.7
1607975100.0,18.7
1607976000.0,18.5
1607976000.0,18.5
1607976900.0,19.0
1607976900.0,19.0
1607977800.0,18.7
1607977800.0,18.7
1607978700.0,19.2
1607978700.0,19.2
1607979600.0,19.1
