timestamp,ftr_vector
1644793257.0,2393.104
1644793402.0,2390.923
1644793553.0,2385.773
1644793751.0,2380.302
1644793879.0,2378.508
1644793900.0,2378.297
1644794100.0,2374.739
1644794316.0,2394.281
1644794384.0,2429.401
1644794391.0,2445.989
1644794431.0,2483.155
1644794495.0,2499.448
1644794623.0,2516.808
1644794732.0,2532.144
1644794843.0,2547.149
1644794877.0,2548.617
1644794949.0,2555.194
1644795000.0,2562.256
1644795049.0,2565.117
1644795169.0,2577.997
1644795378.0,2590.009
1644795566.0,2598.456
1644795604.0,2600.932
1644795900.0,2612.268
1644795976.0,2616.705
1644796072.0,2617.183
1644796509.0,2636.799
1644796800.0,2642.494
1644796864.0,2646.839
1644796981.0,2650.739
1644797083.0,2636.138
1644797091.0,2636.364
1644797228.0,2612.062
1644797252.0,2606.338
1644797260.0,2605.34
1644797296.0,2603.399
1644797303.0,2600.228
1644797324.0,2595.262
1644797356.0,2572.536
1644797368.0,2552.04
1644797396.0,2508.253
1644797400.0,2485.901
1644797428.0,2473.595
1644797443.0,2463.781
1644797479.0,2457.47
1644797504.0,2457.486
1644797508.0,2454.491
1644797551.0,2451.387
1644797600.0,2446.193
1644797658.0,2441.032
1644797665.0,2439.593
1644797682.0,2434.84
1644797690.0,2435.165
1644797694.0,2440.689
1644797700.0,2437.133
1644797718.0,2436.228
1644797722.0,2437.139
1644797726.0,2436.174
1644797754.0,2433.0
1644797762.0,2434.066
1644797766.0,2433.849
1644797786.0,2431.287
1644797805.0,2433.02
1644797826.0,2430.75
1644797833.0,2431.157
1644797866.0,2428.781
1644797890.0,2428.948
1644797894.0,2429.407
1644797898.0,2427.192
1644797905.0,2425.988
1644797922.0,2424.961
1644797933.0,2424.638
1644797937.0,2421.229
1644797946.0,2421.603
1644797954.0,2422.638
1644797962.0,2421.745
1644797969.0,2420.744
1644797982.0,2420.978
1644798005.0,2418.583
1644798018.0,2418.724
1644798022.0,2416.801
1644798026.0,2417.106
1644798029.0,2413.267
1644798033.0,2418.819
1644798065.0,2418.351
1644798069.0,2415.46
1644798086.0,2418.894
1644798090.0,2414.735
1644798097.0,2415.045
1644798105.0,2413.336
1644798122.0,2415.254
1644798133.0,2414.982
1644798137.0,2415.67
1644798158.0,2409.3
1644798162.0,2412.092
1644798169.0,2411.735
1644798173.0,2411.144
1644798177.0,2411.531
1644798190.0,2412.19
1644798194.0,2408.462
1644798198.0,2411.978
1644798201.0,2411.77
1644798205.0,2411.874
1644798222.0,2410.957
1644798226.0,2409.856
1644798230.0,2410.16
1644798233.0,2409.081
1644798237.0,2411.623
1644798254.0,2407.155
1644798258.0,2409.237
1644798262.0,2410.119
1644798266.0,2408.589
1644798269.0,2408.312
1644798277.0,2405.372
1644798290.0,2406.147
1644798294.0,2408.497
1644798298.0,2406.551
1644798301.0,2409.301
1644798305.0,2410.159
1644798309.0,2405.312
1644798313.0,2406.112
1644798326.0,2404.78
1644798330.0,2407.033
1644798334.0,2407.211
1644798337.0,2404.85
1644798345.0,2409.607
1644798349.0,2404.926
1644798362.0,2405.491
1644798366.0,2405.611
1644798370.0,2405.262
1644798373.0,2406.217
1644798377.0,2408.42
1644798381.0,2405.379
1644798394.0,2406.37
1644798398.0,2403.472
1644798402.0,2401.313
1644798409.0,2405.857
1644798413.0,2401.676
1644798417.0,2404.995
1644798430.0,2402.394
1644798434.0,2402.945
1644798438.0,2402.607
1644798441.0,2401.809
1644798445.0,2402.498
1644798449.0,2403.049
1644798453.0,2400.852
1644798466.0,2401.686
1644798470.0,2400.323
1644798473.0,2402.851
1644798477.0,2402.21
1644798481.0,2402.189
1644798485.0,2402.228
1644798498.0,2402.199
1644798502.0,2402.916
1644798506.0,2402.29
1644798509.0,2402.161
1644798513.0,2401.713
1644798517.0,2402.531
1644798521.0,2399.969
1644798534.0,2400.243
1644798538.0,2400.386
1644798541.0,2398.92
1644798545.0,2398.961
1644798549.0,2399.379
1644798553.0,2400.056
1644798570.0,2399.764
1644798574.0,2399.371
1644798577.0,2395.922
1644798581.0,2402.29
1644798589.0,2399.228
1644798600.0,2399.777
1644798602.0,2399.765
1644798606.0,2399.384
1644798610.0,2399.009
1644798613.0,2399.856
1644798617.0,2399.454
1644798621.0,2396.958
1644798625.0,2399.741
1644798634.0,2400.031
1644798638.0,2399.845
1644798642.0,2398.46
1644798646.0,2399.718
1644798649.0,2399.891
1644798653.0,2399.169
1644798657.0,2399.662
1644798661.0,2399.625
1644798674.0,2398.342
1644798682.0,2400.355
1644798685.0,2396.899
1644798689.0,2398.838
1644798693.0,2397.191
1644798697.0,2400.54
1644798706.0,2399.377
1644798710.0,2400.085
1644798714.0,2399.39
1644798718.0,2395.982
1644798721.0,2396.136
1644798725.0,2399.734
1644798729.0,2399.38
1644798742.0,2398.957
1644798761.0,2398.037
1644798765.0,2396.974
1644798774.0,2396.226
1644798778.0,2400.504
1644798782.0,2396.676
1644798785.0,2397.161
1644798789.0,2398.378
1644798793.0,2396.73
1644798797.0,2396.914
1644798810.0,2396.812
1644798814.0,2396.772
1644798817.0,2395.318
1644798825.0,2396.325
1644798842.0,2396.923
1644798849.0,2392.632
1644798853.0,2396.488
1644798874.0,2398.091
